Primera suscripción,,Segunda subscripcion,,,,,
(Libras),,(Libras),,,,,
14 abril 1720,60,(29 abril) 1720,40,16 junio 1720,100,24 ago. 1720,200
14 junio,30,14 sept. (24 ago.),40,2 enero 1721,100,24 sept. 1721,200
14 agosto,30,14 ene. 1721 (24 dic.),40,2 julio,100,24 agosto,200
14 octubre,30,14 mayo (24 abril),40,2 enero 1722,100,24 febr. 1722,200
14 febrero 1721,30,14 sept. (24 ago.),40,2 julio,100,24 agosto,200
14 abril,30,14 dic. (24 dic.),40,2 enero 1723,100,,
14 junio,30,14 mar. 1722 (24 abr.),40,2 julio,100,,
14 agosto,30,14 junio (24 agosto),40,2 enero 1724,100,,
,,14 sept. (24 dic.),40,2 julio,100,,
,,14 dic. (24 abril) 1723,40,2 enero 1725,100,,
Total,300,Total,300,Total,1000,Total,1000
